timestamp,step,type,C,P,I,recall,time_ms,reward,neighbor_index
2025-11-14 21:05:20,1,current,2564,42,16,0.9814,1.96,510.204081,
2025-11-14 21:05:20,1,best,2564,42,16,0.9814,1.96,510.204081,
2025-11-14 21:05:20,1,neighbor,2820,42,16,0.9794,2.12,294.811320,1
2025-11-14 21:05:20,1,neighbor,2308,42,16,0.9868,2.15,465.116279,2
2025-11-14 21:05:21,1,neighbor,2564,47,16,0.9846,2.17,460.829493,3
2025-11-14 21:05:21,1,neighbor,2564,37,16,0.9760,2.05,97.560975,4
2025-11-14 21:05:21,1,neighbor,2820,47,16,0.9824,4.59,217.864923,5
2025-11-14 21:05:21,1,neighbor,2820,37,16,0.9758,2.10,91.575091,6
2025-11-14 21:05:21,1,neighbor,2308,47,16,0.9896,2.72,367.647058,7
2025-11-14 21:05:21,1,neighbor,2308,37,16,0.9832,1.87,534.759358,8
2025-11-14 21:06:15,1,neighbor,2655,42,16,0.9814,2.84,352.112676,9
2025-11-14 21:07:08,1,neighbor,2473,42,16,0.9820,2.46,406.504065,10
2025-11-14 21:08:06,1,neighbor,2564,50,16,0.9858,2.81,355.871886,11
2025-11-14 21:09:03,1,neighbor,2564,34,16,0.9736,1.96,68.946497,12
