NUM_CENTROIDS,KMEANS_ITER,NPROBE,RECALL_mean,ELAPSED_mean,AVG_QUERY_TIME_ms_mean,INDEX_BUILD_TIME_s_mean,runs
512,2,32,0.885,49.0,4.89,9.0,1
512,2,64,0.9356,54.0,7.68,9.0,1
512,2,128,0.9725,58.0,16.26,9.0,1
512,2,256,0.9933,75.0,33.69,9.0,1
512,4,32,0.8958,52.0,5.06,12.0,1
512,4,64,0.9397,57.0,7.99,12.0,1
512,4,128,0.975,61.0,13.64,12.0,1
512,4,256,0.995,74.0,24.81,12.0,1
512,8,32,0.9077,60.0,5.52,19.0,1
512,8,64,0.9479,65.0,10.42,19.0,1
512,8,128,0.979,75.0,18.2,19.0,1
512,8,256,0.9955,94.0,30.04,19.0,1
512,16,32,0.9158,79.0,5.63,34.0,1
512,16,64,0.9529,83.0,10.62,34.0,1
512,16,128,0.9831,92.0,19.52,34.0,1
512,16,256,0.9971,111.0,37.88,34.0,1
1024,2,32,0.8519,55.0,3.78,13.0,1
1024,2,64,0.9059,56.0,5.24,12.0,1
1024,2,128,0.9479,60.0,8.72,12.0,1
1024,2,256,0.9799,73.0,17.72,18.0,1
1024,4,32,0.8613,62.0,3.61,20.0,1
1024,4,64,0.9141,65.0,5.19,20.0,1
1024,4,128,0.9499,68.0,9.31,20.0,1
1024,4,256,0.9811,75.0,16.85,20.0,1
1024,8,32,0.874,82.0,3.54,39.0,1
1024,8,64,0.92,77.0,5.45,34.0,1
1024,8,128,0.9556,83.0,9.93,34.0,1
1024,8,256,0.9838,90.0,18.42,34.0,1
1024,16,32,0.8788,111.0,3.66,69.0,1
1024,16,64,0.926,106.0,5.4,62.0,1
1024,16,128,0.9599,112.0,10.26,64.0,1
1024,16,256,0.9856,120.0,18.75,63.0,1
2048,2,32,0.8189,66.0,3.17,25.0,1
2048,2,64,0.8781,66.0,3.79,25.0,1
2048,2,128,0.921,68.0,5.49,25.0,1
2048,2,256,0.9564,73.0,9.53,25.0,1
2048,4,32,0.8288,86.0,3.04,45.0,1
2048,4,64,0.882,80.0,3.71,39.0,1
2048,4,128,0.9222,83.0,5.37,39.0,1
2048,4,256,0.9591,93.0,9.63,45.0,1
2048,8,32,0.8367,110.0,3.08,69.0,1
2048,8,64,0.8834,116.0,3.66,75.0,1
2048,8,128,0.9269,115.0,5.26,71.0,1
2048,8,256,0.9621,116.0,9.88,68.0,1
2048,16,32,0.8483,169.0,3.09,128.0,1
2048,16,64,0.8915,178.0,3.85,135.0,1
2048,16,128,0.9333,180.0,5.61,135.0,1
2048,16,256,0.9657,184.0,10.51,133.0,1
4096,2,32,0.7861,97.0,3.1,54.0,1
4096,2,64,0.8453,98.0,3.34,55.0,1
4096,2,128,0.8958,92.0,4.16,49.0,1
4096,2,256,0.9356,100.0,5.96,56.0,1
4096,4,32,0.7941,130.0,3.08,87.0,1
4096,4,64,0.8507,129.0,3.43,86.0,1
4096,4,128,0.896,128.0,3.96,85.0,1
4096,4,256,0.9338,130.0,5.67,86.0,1
